데이터구분,기준년월,분류명,데이터값
업황실적,202606,제조업 업황BSI,77
업황실적,202606,제조업 매출BSI,82
업황실적,202606,제조업 생산BSI,87
업황실적,202606,제조업 신규수주BSI,82
업황실적,202606,제조업 채산성BSI,66
업황실적,202606,제조업 제품판매가격BSI,99
업황실적,202606,제조업 제품재고BSI,102
업황실적,202606,제조업 설비투자BSI,103
업황실적,202606,제조업 인력사정BSI,83
업황실적,202606,제조업 가동률BSI,88
업황실적,202606,제조업 내수판매BSI,83
업황실적,202606,제조업 수출BSI,77
업황실적,202606,제조업 원자재구입가격BSI,145
업황실적,202606,제조업 자금사정BSI,77
업황실적,202606,비제조업 업황BSI,65
업황실적,202606,비제조업 매출BSI,67
업황실적,202606,비제조업 채산성BSI,70
업황실적,202606,비제조업 인력사정BSI,72
업황실적,202606,비제조업 자금사정BSI,69
