데이터구분,기준년월,분류명,데이터값
업황전망,202607,제조업 업황BSI,80
업황전망,202607,제조업 매출BSI,76
업황전망,202607,제조업 생산BSI,91
업황전망,202607,제조업 신규수주BSI,74
업황전망,202607,제조업 채산성BSI,64
업황전망,202607,제조업 제품판매가격BSI,96
업황전망,202607,제조업 제품재고BSI,99
업황전망,202607,제조업 설비투자BSI,98
업황전망,202607,제조업 인력사정BSI,92
업황전망,202607,제조업 가동률BSI,91
업황전망,202607,제조업 내수판매BSI,76
업황전망,202607,제조업 수출BSI,82
업황전망,202607,제조업 원자재구입가격BSI,142
업황전망,202607,제조업 자금사정BSI,78
업황전망,202607,비제조업 업황BSI,67
업황전망,202607,비제조업 매출BSI,72
업황전망,202607,비제조업 채산성BSI,74
업황전망,202607,비제조업 인력사정BSI,74
업황전망,202607,비제조업 자금사정BSI,70
